"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s beğendiklerime eklendi. Alışverişe devam etmek için <a href=""%2$s"">buraya tıklayın</a>"
"Can't save description %s","%s açıklaması kaydedilemiyor"
"%s's Wishlist","%s Beğendiklerim"
"RSS link to %s's wishlist","%s Beğendiklerime RSS bağlantısı"
"* Required Fields","* Zorunlu Alan"
"Enabled","Aktif"
"Product","Ürün"
"Cannot specify product","Ürün seçiminde hata var"
"There was an error while deleting item from wishlist.","Ürün beğendiklerimden silinirken bir hata oluştu."
"There was an error while adding item to wishlist.","Ürün beğendiklerime eklenirken bir hata oluştu."
"View Product","Ürünü Göster"
"This product(s) is currently out of stock:","Bu ürün(ler) stokta yok :"
"Are you sure you want to remove this product from your wishlist?","Bu ürünü beğendiklerimden silmek istediğinizden emin misiniz ?"
"Are you sure you would like to remove this item from the wishlist?","Bu ürünü beğendiklerimden silmek istediğinizden emin misiniz ?"
"Added On","Eklenme Tarihi"
"Email address can't be empty.","Email adresi boş olamaz."
"Email addresses, separated by commas","Email adresleri (virgülle ayırınız)"
"Email Template","Email Şablonu"
"Email Sender","Email Göndericisi"
"Are You sure?","Emin misiniz ?"
"You input not valid email address.","Geçerli bir e-mail adresi girmediniz."
"General Options","Genel Ayarlar"
"Back","Geri"
"Add All to Cart","Hepsini Sepete Ekle"
"Remove Item","Kayıt Sil"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Lütfen geçerli e-mail adresleri giriniz ve aralarında virgül kullanınız. Örnek: ahmet@domain.com, mehmet@baskadomain.com."
"Please, enter your comments...","Lütfen yorumlarınızı giriniz..."
"Message","Mesaj"
"Sharing Information","Paylaşım Bilgisi"
"Share options","Paylaşma seçenekleri"
"RSS Feed","RSS Veri Akışı"
"Add to Cart","Sepete Ekle"
"Last Added Items","Son Eklenenler"
"My Wishlist","Beğendiklerim"
"My Wishlist (%d item)","Beğendiklerim (%d ürün)"
"My Wishlist (%d items)","Beğendiklerim (%d ürün)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Beğendiklerim - <a href=""%s"">%d adet ürün</a>"
"Share Your Wishlist","Beğendiklerimi Paylaş"
"Your Wishlist was successfully shared","Beğendiklerim paylaşıldı"
"You have no items in your wishlist.","Beğendiklerimde ürün yok."
"There was an error while deleting item from wishlist: %s","Beğendiklerimden ürün silinirken hata oluştu : %s"
"There was an error while adding item to wishlist: %s","Beğendiklerime ürün eklenirken hata oluştu : %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Beğendiklerime bir RSS akışı eklemek için bu kutuyu işaretleyin."
"Wishlist","Beğendiklerim"
"Wishlist is empty now.","Beğendiklerim boş."
"Cannot create wishlist","Beğendiklerim oluşturulamadı"
"Share Wishlist","Beğendiklerim Paylaş"
"Wishlist Sharing","Beğendiklerim Paylaşımı"
"Add to Wishlist","Beğendiklerime Ekle"
"Go to Wishlist","Beğendiklerime Git"
"Update Wishlist","Beğendiklerimi Güncelle"
"Comment","Yorum"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Can\'t save description %s","Açıklama kaydedilemedi %s"
"Email address can\'t be empty.","Email adresi boş bırakılamaz."
"Wishlist Section","Beğendiklerim Bölümü"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"""%s""","""%s"" "
"%d product(s) have been added to shopping cart: %s.","%d ürün sepete eklendi : %s."
"Can\'t specify product","Ürün seçilemiyor"
"Can\'t specify wishlist","Beğendiklerim seçilemiyor"
"Cannot add item to shopping cart","Sepete ürün eklenemiyor"
"Cannot add to shopping cart","Sepete eklenemiyor"
"Comment:","Yorum :"
"Customer My Account My Wishlist","Müşteri Hesabım Beğendiklerim"
"Customer My Account Wishlist Sharing Form","Müşteri Hesabım Beğendiklerim Paylaşım Formu"
"Customer Shared Wishlist View","Müşteri Hesabım Paylaşılmış Beğendiklerim Görünümü"
"My Wishlist (%d)","Beğendiklerim (%d)"
"Out of stock","Stokta Yok"
"Please input a valid email address.","Lütfen geçerli bir e-mail adresi giriniz."
"Product(s) %s have required options. Each of them can be added to cart separately only.","%s adlı ürün(ler) zorunlu olarak doldurulması gereken seçeneklere sahipler. Her ürün sepete ayrı olarak eklenmeli."
"Remove This Item","Bu ürünü sil"
"Remove item","Ürünü sil"
"This product(s) is currently out of stock","Bu ürün(ler) stokta yok"
"Unable to add the following product(s) to shopping cart: %s.","Bu ürün(ler) sepete eklenemiyor : %s."
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s beğendiklerime eklendi. <a href=""%2$s"">Buraya</a> tıklayarak alışverişe devam edebilirsiniz"
"An error occurred while adding item to wishlist.","Beğendiklerime ürün eklenirken bir sorun oluştu."
"An error occurred while adding item to wishlist: %s","Beğendiklerime ürün eklenirken bir sorun oluştu: %s"
"An error occurred while deleting the item from wishlist.","Beğendiklerimden ürün silinirken bir sorun oluştu."
"An error occurred while deleting the item from wishlist: %s","Beğendiklerimden ürün silinirken bir sorun oluştu: %s"
"Can\'t update wishlist","Beğendiklerim güncelenemiyor"
"Cannot add the item to shopping cart.","Ürün sepete eklenemiyor."
"Cannot create wishlist.","Beğendiklerim oluşturulamıyor."
"Cannot specify product.","Ürün seçilmedi."
"Cannot specify wishlist.","Beğendiklerim seçilmedi."
"Cannot update wishlist","Beğendiklerim güncellenemiyor"
"My Wishlist <small>(%d)</small>","Beğendiklerim <small>(%d)</small>"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","%s adlı ürünler gruplandı. Ancak sepete sadece tek tek eklenebilir."
"Share Options","Paylaşım Seçenekleri"
"Your Wishlist has been shared.","Beğendiklerim paylaşıldı."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%1$s has been updated in your wishlist.","Beğendiklerimdeki %1$s güncellendi."
"%s for ""%s"".","%s -> ""%s""."
"Add to Compare","Karşılaştırma Listesine Ekle"
"Added From","Eklendi"
"An error occurred while updating wishlist.","Beğendiklerim güncellenirken sorun oluştu."
"Can\'t delete item from wishlist","Beğendiklerimden ürün silinemedi"
"Cannot configure product","Ürün ayarlanamadı"
"Cannot load wishlist item","Beğendiklerim kaydı yüklenemedi"
"Cannot specify wishlist item.","Beğendiklerim kaydı belirtilmedi."
"Configure Wishlist Item","Beğendiklerim ürününü ayarla"
"Configured Price:","Ayarlanan Fiyat:"
"Date Added","Eklenme Tarihi"
"Days in Wishlist","Beğendiklerimde Kalma Süresi"
"Display Wishlist Summary","Beğendiklerim Özeti Göster"
"Edit","Düzelt"
"Helper for wishlist options rendering doesn't implement required interface.","Beğendiklerim seçenekleri için kullanılan Helper gerekli arayüzü oluşturmuyor."
"My Wishlist Link","Beğendiklerim Bağlantısı"
"Options Details","Seçenek Detayları"
"User description","Kullanıcı açıklaması"
"View Details","Detayları Göster"
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc1 2011-07-19 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Click for price","Fiyat için tıklayınız"
"--------------- v 1.6.0.0-rc1 2011-07-19 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc2 2011-09-02 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"What's this?","Bu nedir ?"
"--------------- v 1.6.0.0-rc2 2011-09-02 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s beğendiklerime eklendi. <a href=""%2$s"">Buraya tıklayarak</a> alışverişe devam edebilirsiniz."
"%s has been moved to wishlist %s","%s adlı ürün, %s beğendiklerimden kaldırıldı"
"Cannot move item to wishlist","Ürün beğendiklerime eklenemedi"
"Could not find wishlist","Beğendiklerim bulunamadı"
"In stock","Stokta var"
"Product Details and Comment","Ürün Detayları ve Yorum"
"Requested cart item doesn't exist","İstenen ürün bulunamadı"
"Requested wishlist doesn't exist","İstenen beğendiklerim bulunamadı"
"This Wishlist has no Items","Bu beğendiklerimde ürün yok"
"Wishlist could not be created.","Beğendiklerim oluşturulamadı."
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
