"--------------- GriNet Turkpay İçin Eklenenler --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- GriNet Turkpay İçin Eklenenler --------------------","////////////////////////////////////////////////////////////////////////"
"Garanti Bankası - BonusCard","Garanti Bankası - BonusCard / ParaCard"   
"Akbank - Axess","Akbank - Axess / FishCard"
"İş Bankası - Maximum","İş Bankası - Maximum / Bankamatik Kartı"
"Finans Bank - CardFinans","Finans Bank - CardFinans"
"HalkBank - HalkCard Advantage","HalkBank - HalkCard Advantage"
"Türk Ekonomi Bankası - TEB Bonus","Türk Ekonomi Bankası - TEB Bonus"
"AnadoluBank - WorldCard","AnadoluBank - WorldCard"   
"CitiBank - CitiAxess","CitiBank - CitiAxess"           
"DenizBank - BonusCard","DenizBank - BonusCard"   
"Fortis Bank - WorldCard","Fortis Bank - WorldCard"   
"HSBC - Advantage","HSBC - Advantage"           
"Kuveyt Türk - SizCard","Kuveyt Türk - SizCard"   
"CardPlus - Kıbrıs","CardPlus - Kıbrıs"           
"Credit Europe - Kıbrıs","Credit Europe - Kıbrıs"   
"Yapı Kredi Bankası - Worldcard","Yapı Kredi Bankası - Worldcard"
"BankAsya - AsyaCard","BankAsya - AsyaCard"           
"Ziraat Bankası - Maximum","Ziraat Bankası - Maximum"   
"VakıfBank - WorldCard","VakıfBank - WorldCard"   
"Türkiye Finans - HappyCard","Türkiye Finans - HappyCard"   

"#%s numaralı fatura oluşturuldu","#%s numaralı fatura oluşturuldu"
"3d Model","3d Model"
"3d Secure Hatası. Bankanız tarafından doğrulama yapılamadı. Lütfen kart bilgilerini doğrulayarak tekrar giriniz...","3d Secure Hatası. Bankanız tarafından doğrulama yapılamadı. Lütfen kart bilgilerini doğrulayarak tekrar giriniz..."
"3d Secure Hatası. Bankanızdan onay alınamadı. (Sistem Hatası)","3d Secure Hatası. Bankanızdan onay alınamadı. (Sistem Hatası)"
"3d Secure Hatası. Bankanızdan onay alınamadı. Lütfen site yönetimine iletiniz...","3d Secure Hatası. Bankanızdan onay alınamadı. Lütfen site yönetimine iletiniz..."
"3d Secure Hatası. Bankanızdan onay alınamadı.","3d Secure Hatası. Bankanızdan onay alınamadı."
"3d Secure Hatası. Bilinmeyen kart numarası. Lütfen kart bilgilerini doğrulayarak tekrar giriniz...","3d Secure Hatası. Bilinmeyen kart numarası. Lütfen kart bilgilerini doğrulayarak tekrar giriniz..."
"3d Secure Hatası. İşyeri onay hatası...","3d Secure Hatası. İşyeri onay hatası..."
"3d Secure Yok ( Klasik Tahsilat )","3d Secure Yok ( Klasik Tahsilat )"
"Ana Sayfaya Yönlendiriliyorsunuz...","Ana Sayfaya Yönlendiriliyorsunuz..."
"Ay","Ay"
"BL","BL"
"Banka  : %s <br />","Banka  : %s <br />"
"Banka  : <B>%s</B>","Banka  : <B>%s</B>"
"Banka Order ID","Bank Sipariş No"                                                                                                           
"Banka ayarlarinizda sorun var. En az 1 banka icin ayarlari tam yapmalisiniz...","Banka ayarlarinizda sorun var. En az 1 banka icin ayarlari tam yapmalisiniz..."
"Banka","Banka"
"Bankanızı Seçiniz","Bankanızı Seçiniz"
"Bankanızın sistemine yönlendiriliyorsunuz...","Bankanızın sistemine yönlendiriliyorsunuz..."
"Bu nedir ?","Bu nedir ?"
"Bu siparişte hiç sanal pos işlemi yapılmamıştır.","Bu siparişte hiç sanal pos işlemi yapılmamıştır."
"Cevap :","Cevap :"
"Devre Dışı","Devre Dışı"
"EUR - Euro","EUR - Euro"
"GBP - İngiliz Sterlini ( Pound )","GBP - İngiliz Sterlini ( Pound )"
"Gateway olarak belirttiğiniz dosyaya erişimde sorun var...","Gateway olarak belirttiğiniz dosyaya erişimde sorun var..."
"GriNet TurkPay ilk kurulumu yapıldı...","GriNet TurkPay ilk kurulumu yapıldı..."
"GriNet TurkPay ilk kurulumu yapıldı...","GriNet TurkPay installed..."                                                                                   
"GriNet TurkPay v0.1.1 kurulumu başladı...","GriNet TurkPay v0.1.1 kurulumu başladı..."
"Güvenlik Kodu (CVC2)","Güvenlik Kodu (CVC2)"
"Güvenlik Uyarisi : Bu Kredi Kartı ile işlem yapılamıyor.","Güvenlik Uyarisi : Bu Kredi Kartı ile işlem yapılamıyor."
"Hata : Sipariş için ödenecek tutar toplamı 1 den küçük olamaz.","Hata : Sipariş için ödenecek tutar toplamı 1 den küçük olamaz."
"Hata : Son işlemden sonra çok uzun süre geçtiği için işlem yeniden yapılmalıdır.","Hata : Son işlemden sonra çok uzun süre geçtiği için işlem yeniden yapılmalıdır."
"Hata Mesaji :","Hata Mesaji :"
"Host Mesaji :","Host Mesaji :"
"ID","ID"
"IP","IP"
"IP.Ülke","IP.Ülke"
"Invoice #%s created","Fatura #%s oluşturuldu"
"K.K.No: xxxx-%s","Kart No.: xxxx-%s"                                                                                                          
"K.K.Tipi: %s","Kart Tipi : %s"                                                                                                             
"Kredi Kartı No","Kredi Kartı No"
"Kredi Kartı Numarası","Kredi Kartı Numarası"
"Kredi Kartı Tipi","Kart Tipi"
"Kredi Kartı Tipi","Kredi Kartı Tipi"
